主キー,問題,正解選択肢,その他選択肢1,その他選択肢2,その他選択肢3,ジャンル,難易度
69,SMコミュニティにおいて、SMプレイを行う人々の間で共有される価値観や倫理観で、安全・同意・健全性を重視する考え方を何と呼ぶでしょう？,SANE,SAFE,SSC,RACK,SM・BDSM,3
70,SMプレイに関する合意形成において、プレイの内容だけでなく、プレイ後のケアや感情的なサポートについても話し合うことは重要ですか？,非常に重要である,重要ではない,状況による,どちらでもよい,SM・BDSM,2
71,フェティシズムにおいて、特定の物に性的魅力を感じる嗜好の中でも、下着に性的魅力を感じる嗜好は何と呼ばれるでしょう？,ランジェリーフェチ,下着フェチ,アンダーウェアフェチ,インナーフェチ,フェティシズム,2
72,フェティシズムの対象となるもので、靴下、特に女性用のストッキングやタイツに性的魅力を感じる嗜好は何と呼ばれるでしょう？,ソックスフェチ,レッグウェアフェチ,タイツフェチ,ストッキングフェチ,フェティシズム,3
73,フェティシズムの対象となるもので、特定の職業の制服に性的魅力を感じる嗜好は何と呼ばれるでしょう？,制服フェチ,コスチュームフェチ,職業フェチ,ユニフォームフェチ,フェティシズム,3
74,フェティシズムの対象となるもので、髪の毛、特に長い髪の毛に性的魅力を感じる嗜好は何と呼ばれるでしょう？,ヘアフェチ,ロン毛フェチ,黒髪フェチ,毛髪フェチ,フェティシズム,3
75,フェティシズムの対象となるもので、特定の音、例えば高いヒールの靴音が床を叩く音に性的魅力を感じる嗜好は何と呼ばれるでしょう？,サウンドフェチ,足音フェチ,靴音フェチ,ASMRフェチ,フェティシズム,3
76,フェティシズムの対象となるもので、特定の状況、例えば他人に覗かれている状況に性的魅力を感じる嗜好は何と呼ばれるでしょう？,覗き見趣味,露出趣味,シチュエーションフェチ,盗撮趣味,フェティシズム,4
77,フェティシズムは、精神医学的な診断基準において、性的興奮の対象が非人間的な物や身体の一部に限定され、社会生活に支障をきたす場合に診断されることがありますが、それは何という診断名に分類されることが多いでしょう？,性的倒錯症,性嗜好不全,性機能不全,精神病性障害,フェティシズム,4
78,フェティシズムの対象となるもので、汗や体液など、人間の分泌物に性的魅力を感じる嗜好は何と呼ばれるでしょう？,体液フェチ,スメルフェチ,分泌物フェチ,汗フェチ,フェティシズム,4
79,フェティシズムの対象となるもので、特定の年齢層、例えば幼児や児童に性的魅力を感じる嗜好は、法的に問題視されることがありますが、それぞれ何と呼ばれるでしょう？,小児性愛,幼児性愛,児童性愛,若年者性愛,フェティシズム,5
80,フェティシズムについて、その対象となる物や状況だけでなく、それらに対する個人の解釈や想像力が性的興奮に深く関わっていると考えられますが、この心理的な要素は何と呼ばれることが多いでしょう？,性的連想,性的イメージ,性的幻想,性的嗜好,フェティシズム,3
81,エロティックなテーマのコスプレで、アニメやゲームのキャラクターの性的魅力を強調するために、衣装の露出度を極端に高くしたり、原作にはないアレンジを加えたりする行為は何と呼ばれることが多いでしょう？,セクシーアレンジ,過激化,露出増し,R-18アレンジ,コスプレ (エロティックなテーマ),3
82,エロティックなテーマのコスプレで、写真撮影の際に、キャラクターの持つ性的魅力を最大限に引き出すために、意図的に性的なポーズや挑発的な視線を向けることは一般的ですか？,一般的である,一般的ではない,一部のレイヤーのみ行う,イベントによっては禁止されている,コスプレ (エロティックなテーマ),2
83,エロティックなテーマのコスプレイベントにおいて、参加者が他の参加者に対して、性的な言動や不必要な接触を行うことは許容されますか？,一切許容されない,状況によっては許容される,相手が同意していれば問題ない,イベントのルールによる,コスプレ (エロティックなテーマ),1
84,エロティックなテーマのコスプレで人気のジャンルの一つに、下着や水着をモチーフにした衣装がありますが、これらは原作のキャラクターが実際に着用している場合と、コスプレイヤーが独自に解釈してアレンジする場合とがありますか？,どちらの場合もある,原作に忠実な場合のみ,アレンジは禁止されている,水着は許可されない,コスプレ (エロティックなテーマ),2
85,エロティックなテーマのコスプレで、キャラクターの魅力を高めるために使用されるアイテムで、ウィッグやカラコン以外に、肌の露出部分をより滑らかに見せたり、質感を向上させたりするために用いられるものは何でしょう？,ボディファンデーション,ラメパウダー,ボディオイル,タトゥー隠しシール,コスプレ (エロティックなテーマ),3
86,エロティックなテーマのコスプレで、男性キャラクターの性的魅力を強調する際に用いられる表現として、筋肉質な体型を強調するだけでなく、血管や汗などをリアルに再現するメイクアップは何と呼ばれることがあるでしょう？,肉体強調メイク,リアル筋肉メイク,血管メイク,汗メイク,コスプレ (エロティックなテーマ),4
87,エロティックなテーマのコスプレで、オリジナルキャラクターを創作する場合、性的魅力を表現するために、衣装のデザインだけでなく、キャラクターの性格や背景設定も重要になりますか？,非常に重要である,重要ではない,どちらでもよい,衣装だけで十分,コスプレ (エロティックなテーマ),3
88,エロティックなテーマのコスプレで撮影された写真や動画が公開されるプラットフォームにおいて、過度な性的表現は利用規約によって禁止されている場合が多いですが、そのような規制を回避するために用いられる手法は何でしょう？,修正加工,ぼかし処理,隠蔽処理,自主規制,コスプレ (エロティックなテーマ),3
89,エロティックなテーマのコスプレで、海外のイベントで特に人気のあるジャンルとして、日本の漫画やアニメだけでなく、アメリカンコミックのキャラクターのセクシーなアレンジなども挙げられますか？,はい,いいえ,場合による,不明,コスプレ (エロティックなテーマ),2
90,エロティックなテーマのコスプレを楽しむ上で、自己責任と安全確保はもちろんのこと、周囲の理解と協力を得るために、どのような配慮が必要となるでしょうか？,TPOに合わせた行動,過度な露出の自粛,公共の場での着替えの禁止,イベントのルール遵守,コスプレ (エロティックなテーマ),2
91,日本のアニメーションの歴史において、初のフルデジタル制作による長編アニメーション映画として、2004年に公開されたスタジオジブリの作品は何でしょう？,ハウルの動く城,千と千尋の神隠し,もののけ姫,となりのトトロ,アニメ (一般),3
92,アニメの制作工程において、原画と原画の間を補完する動きを描き、滑らかなアニメーションを生み出す重要な作業を何と呼ぶでしょう？,動画,中割り,仕上げ,彩色,アニメ (一般),2
93,アニメのジャンルの一つで、主に未就学児を対象とした教育的な内容を含む作品群を指す言葉は何でしょう？,知育アニメ,幼児向けアニメ,キッズアニメ,教育アニメ,アニメ (一般),2
94,アニメの表現技法の一つで、キャラクターの感情や心理状態を、背景の色や光の表現、あるいは記号的な視覚効果を用いて表現する手法は何と呼ばれるでしょう？,心理描写,感情表現,演出効果,視覚効果,アニメ (一般),3
95,アニメの制作会社で、「新世紀エヴァンゲリオン」や「ふしぎの海のナディア」など、革新的な映像表現と深遠なテーマで知られるのはどこでしょう？,GAINAX,Production I.G,ボンズ,MAPPA,アニメ (一般),4
96,アニメのジャンルの一つで、現実とは異なる架空の世界を舞台に、魔法や剣、ドラゴンなどが登場する冒険物語を何と呼ぶでしょう？,ファンタジーアニメ,異世界アニメ,冒険アニメ,中世ファンタジー,アニメ (一般),2
97,アニメの声優で、数々の人気アニメで主人公や重要なキャラクターを演じ、「声優界のプリンス」とも呼ばれるのは誰でしょう？,宮野真守,神谷浩史,梶裕貴,福山潤,アニメ (一般),3
98,アニメのジャンルの一つで、巨大な人型兵器が登場し、パイロットが乗り込んで戦う作品群を指す言葉として、特にSF的な設定や人間ドラマを重視するものは何でしょう？,リアルロボットアニメ,スーパーロボットアニメ,メカアクションアニメ,巨大兵器アニメ,アニメ (一般),3
99,アニメのイベントで、最新のアニメ作品の上映会や制作スタッフによるトークショー、限定グッズの販売などが行われる、アニメファン向けの総合的なイベントとして知られるものは何でしょう？,AnimeJapan,コミックマーケット,東京アニメアワードフェスティバル,ジャパンアニメーションフェスティバル,アニメ (一般),2
100,アニメのジャンルの一つで、現代社会を舞台に、妖怪や幽霊、精霊などの人ならざるものが登場する物語を何と呼ぶでしょう？,妖怪アニメ,怪奇アニメ, supernatural アニメ,異形アニメ,アニメ (一般),3
101,日本の漫画の歴史において、貸本漫画の時代から活躍し、「墓場の鬼太郎」や「ゲゲゲの鬼太郎」などの妖怪漫画で国民的な人気を博した漫画家は誰でしょう？,水木しげる,手塚治虫,石ノ森章太郎,赤塚不二夫,漫画 (一般),3
102,漫画の表現技法の一つで、キャラクターの心理的な葛藤や内面の変化を、背景の歪みや特殊な効果線を用いて表現する手法は何と呼ばれるでしょう？,心理描写,感情表現,抽象表現,内面描写,漫画 (一般),3
103,漫画のジャンルの一つで、主に小学校高学年から中学生くらいの年齢層の読者を対象とした作品群を指す言葉は何でしょう？,少年少女漫画,学年誌漫画,子供向け漫画,ジュニアコミック,漫画 (一般),2
104,漫画の制作工程において、完成原稿を印刷するために、インクの色ごとに版を作成する作業は何と呼ばれるでしょう？,版下作成,製版,印刷,刷り込み,漫画 (一般),3
105,漫画の出版社で、「週刊少年マガジン」を発行しているのはどこでしょう？,講談社,集英社,小学館,秋田書店,漫画 (一般),1
106,漫画のジャンルの一つで、主に青年男性を対象とした、社会や人間関係を深く掘り下げた作品群を指す言葉は何でしょう？,青年コミック,成年漫画,メンズコミック,ヤングコミック,漫画 (一般),2
107,漫画の賞で、新人漫画家の登竜門として知られ、「週刊少年ジャンプ」に掲載される作品を対象とした賞は何でしょう？,手塚賞・赤塚賞,小学館新人コミック大賞,講談社漫画賞新人賞,文化庁メディア芸術祭マンガ部門新人賞,漫画 (一般),3
108,漫画のジャンルの一つで、主に成人女性を対象とした、恋愛や家庭生活、人間関係などを描いた作品群を指す言葉は何でしょう？,レディースコミック,女性向け漫画,大人女子漫画,ハーレクインコミック,漫画 (一般),2
109,漫画のイベントで、商業誌で活躍する漫画家や編集者が参加し、サイン会やトークショーなどが行われるものは何でしょう？,サイン会＆握手会,漫画家イベント,商業コミックフェスタ,プロ漫画家交流会,漫画 (一般),3
110,漫画のジャンルの一つで、歴史上の人物や出来事を題材にした作品群を指す言葉は何でしょう？,歴史漫画,時代劇漫画,戦国漫画,伝記漫画,漫画 (一般),2
111,家庭用ゲーム機の歴史の中で、1990年代にセガが発売し、高性能なグラフィックと3Dポリゴンによる表現で話題を呼んだゲーム機は何でしょう？,セガサターン,ドリームキャスト,メガドライブ,ゲームギア,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),3
112,PCゲームのジャンルの一つで、プレイヤーが主人公の視点（一人称）で、銃などの武器を使って敵と戦うゲームにおいて、オンラインで多数のプレイヤーが同時に対戦する形式は何と呼ばれるでしょう？,FPSマルチプレイヤー,オンラインFPS,対戦型FPS,ネットワークシューティング,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
113,スマホゲームの収益モデルの一つであるフリーミアムモデルにおいて、ゲームの進行を有利に進めたり、キャラクターを強化したりするために購入するアイテムは一般的に何と呼ばれるでしょう？,課金アイテム,ゲーム内通貨,デジタルコンテンツ,有料アセット,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
114,家庭用ゲーム機のメーカーで、2001年に初の家庭用ゲーム機「Xbox」を発売し、オンラインゲームサービス「Xbox Live」を展開しているのはどこでしょう？,マイクロソフト,任天堂,ソニー・インタラクティブエンタテインメント,セガ,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
115,PCゲームのプラットフォームで、インディーズゲームの開発者にとって、自身のゲームを世界中のプレイヤーに販売するための主要な窓口となっているプラットフォームは何でしょう？,itch.io,Steam,Epic Games Store,GOG.com,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),3
116,スマホゲームのジャンルの一つで、短い時間で手軽に遊べることを重視し、パズルやミニゲームなどのシンプルなルールで構成されているゲームを何と呼ぶでしょう？,カジュアルゲーム,ハイパーカジュアルゲーム,ライトゲーム,ミニゲーム集,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),2
117,家庭用ゲーム機のコントローラーで、アナログスティックが初めて搭載されたのはどのゲーム機のコントローラーでしょう？,NINTENDO64コントローラー,PlayStationアナログコントローラー,セガサターン3Dコントローラー,Xboxコントローラー,ゲーム (一般、家庭用ゲーム、PCゲーム、スマホゲームなど),3
